image_name,iphone_probability
Aphones (10001).jpg,0.044958971440792084
Aphones (10004).jpg,0.24243037402629852
Aphones (10037).jpg,8.59286330978648e-08
Aphones (10052).jpg,0.1031709536910057
Aphones (10054).jpg,0.3245278298854828
Aphones (10100).jpg,0.0008436646894551814
Aphones (10101).jpg,1.6969402167887893e-06
Aphones (10103).jpg,0.04219324514269829
Aphones (10109).jpg,1.9784251890087035e-06
Aphones (10119).jpg,0.0002700645418372005
Aphones (10195).jpg,0.0002314078010385856
Aphones (10233).jpg,0.9945626854896545
Aphones (10237).jpg,2.3716879695712123e-06
Aphones (10273).jpg,0.000322316016536206
Aphones (10304).jpg,0.00011978358088526875
Aphones (10326).jpg,0.0010273208608850837
Aphones (10332).jpg,0.5006190538406372
Aphones (10387).jpg,1.2177123664969258e-07
Aphones (10470).jpg,0.20619577169418335
Aphones (1049).jpg,0.0004108904686290771
Aphones (1051).jpg,0.0007695136591792107
Aphones (10567).jpg,0.27269941568374634
Aphones (10573).jpg,0.005256781354546547
Aphones (10597).jpg,0.0015467243501916528
Aphones (10598).jpg,2.0884124651843194e-08
Aphones (1060).jpg,0.5427683591842651
Aphones (10608).jpg,0.0007238038233481348
Aphones (10724).jpg,5.019056175115111e-07
Aphones (10734).jpg,0.001179347513243556
Aphones (10738).jpg,0.003844635793939233
Aphones (10758).jpg,0.00048323304508812726
Aphones (10784).jpg,3.4390601477696237e-09
Aphones (10809).jpg,7.578135896579852e-10
Aphones (10831).jpg,0.47569093108177185
Aphones (10839).jpg,2.7324565962771885e-05
Aphones (1084).jpg,4.821934271603823e-05
Aphones (10868).jpg,0.022287994623184204
Aphones (1088).jpg,0.0011448560981079936
Aphones (10895).jpg,0.07452932745218277
Aphones (10978).jpg,0.008443761616945267
Aphones (1099).jpg,0.008538144640624523
Aphones (110).jpg,0.05476802960038185
Aphones (11028).jpg,0.001333175809122622
Aphones (11050).jpg,0.08497440814971924
Aphones (11070).jpg,7.415256959575345e-07
Aphones (11085).jpg,0.0003328555030748248
Aphones (11120).jpg,0.0014699390158057213
Aphones (11123).jpg,0.030525682494044304
Aphones (1115).jpg,1.7367809732604655e-06
Aphones (11168).jpg,0.019697705283761024
Aphones (1117).jpg,0.00021599781757686287
Aphones (11246).jpg,0.3340741991996765
Aphones (11252).jpg,0.06302817910909653
Aphones (1126).jpg,0.00023467109713237733
Aphones (11272).jpg,0.0027666997630149126
Aphones (11323).jpg,0.00413204450160265
Aphones (11324).jpg,1.923052332131192e-05
Aphones (11325).jpg,0.004725087434053421
Aphones (11371).jpg,0.0017173616215586662
Aphones (11396).jpg,3.3830269785539713e-07
Aphones (11444).jpg,0.0024789846502244473
Aphones (11452).jpg,0.5415629148483276
Aphones (11486).jpg,0.7866571545600891
Aphones (11492).jpg,0.18634407222270966
Aphones (11523).jpg,2.1786638171761297e-05
Aphones (11551).jpg,0.18313997983932495
Aphones (11584).jpg,0.00020256488642189652
Aphones (11587).jpg,0.0009151584818027914
Aphones (11589).jpg,0.9660277366638184
Aphones (11606).jpg,2.5436721173832666e-08
Aphones (11639).jpg,0.001202629879117012
Aphones (11651).jpg,0.0007214187644422054
Aphones (11708).jpg,0.7177786231040955
Aphones (11787).jpg,0.0003255823103245348
Aphones (11791).jpg,0.004509510472416878
Aphones (1180).jpg,0.8901017308235168
Aphones (11819).jpg,0.023761752992868423
Aphones (11823).jpg,0.16882756352424622
Aphones (11912).jpg,0.009694426320493221
Aphones (11924).jpg,0.8764493465423584
Aphones (11952).jpg,0.000144636447657831
Aphones (11954).jpg,0.5425736904144287
Aphones (11990).jpg,0.5425151586532593
Aphones (12094).jpg,4.576300511871523e-07
Aphones (1218).jpg,5.100225166643213e-07
Aphones (12258).jpg,5.1727824029512703e-05
Aphones (12401).jpg,0.7040666341781616
Aphones (12447).jpg,0.0051677948795259
Aphones (12453).jpg,0.017225107178092003
Aphones (12498).jpg,0.003019401803612709
Aphones (12504).jpg,0.05604992061853409
Aphones (12554).jpg,2.8366972770754728e-08
Aphones (12569).jpg,0.7006146907806396
Aphones (12571).jpg,0.7553418278694153
Aphones (12594).jpg,0.10635153949260712
Aphones (12639).jpg,2.6702226023189723e-05
Aphones (127).jpg,0.0175516065210104
Aphones (12728).jpg,2.3842471819079947e-06
Aphones (12733).jpg,0.9591414332389832
Aphones (12734).jpg,0.4077712595462799
Aphones (12753).jpg,2.188651478718384e-06
Aphones (12763).jpg,0.14905597269535065
Aphones (12806).jpg,1.608693492016755e-05
Aphones (12839).jpg,3.2026736818124846e-08
Aphones (1289).jpg,0.9826419353485107
Aphones (12911).jpg,1.9207934656151338e-06
Aphones (12967).jpg,0.21465763449668884
Aphones (13047).jpg,0.3268674314022064
Aphones (13112).jpg,6.658757683908334e-06
Aphones (13116).jpg,0.009485103189945221
Aphones (13210).jpg,6.352963828248903e-05
Aphones (13330).jpg,8.60845648276154e-06
Aphones (13334).jpg,1.6610629245406017e-05
Aphones (13379).jpg,0.9974416494369507
Aphones (13415).jpg,0.15320706367492676
Aphones (13607).jpg,9.467185009270906e-07
Aphones (13687).jpg,0.0037892323452979326
Aphones (13697).jpg,0.21316567063331604
Aphones (13772).jpg,0.0032246753107756376
Aphones (13783).jpg,0.0182195995002985
Aphones (1384).jpg,0.00011965994053753093
Aphones (13911).jpg,2.4214003133238293e-05
Aphones (13965).jpg,0.8207859396934509
Aphones (1398).jpg,0.7091646790504456
Aphones (13990).jpg,0.9995050430297852
Aphones (13995).jpg,0.1363697499036789
Aphones (14008).jpg,0.24041485786437988
Aphones (14055).jpg,4.900144995190203e-05
Aphones (14071).jpg,0.7976916432380676
Aphones (14072).jpg,0.08310631662607193
Aphones (14088).jpg,5.426300504041137e-06
Aphones (14103).jpg,0.05276242271065712
Aphones (14115).jpg,0.0028101105708628893
Aphones (14199).jpg,0.2597596347332001
Aphones (14242).jpg,0.12704800069332123
Aphones (14245).jpg,0.014108099974691868
Aphones (14287).jpg,0.0830158144235611
Aphones (14313).jpg,0.0001373428531223908
Aphones (14317).jpg,0.876732587814331
Aphones (14326).jpg,8.25738170533441e-05
Aphones (14342).jpg,0.0006453958339989185
Aphones (14409).jpg,0.03833099082112312
Aphones (14423).jpg,0.005450564902275801
Aphones (14437).jpg,0.6363009810447693
Aphones (14470).jpg,0.3578173816204071
Aphones (14495).jpg,0.0002456454385537654
Aphones (14553).jpg,9.476919512962922e-05
Aphones (14561).jpg,7.943745731608942e-05
Aphones (14570).jpg,4.1768828396016033e-07
Aphones (14575).jpg,2.0024623736958347e-08
Aphones (1458).jpg,0.8315737247467041
Aphones (146).jpg,0.0003802466962952167
Aphones (14640).jpg,0.8618423342704773
Aphones (14664).jpg,0.0008962319698184729
Aphones (14688).jpg,6.912866865604883e-07
Aphones (14694).jpg,0.012703525833785534
Aphones (14700).jpg,0.11253929138183594
Aphones (14724).jpg,0.8738394379615784
Aphones (14743).jpg,0.001426968490704894
Aphones (14756).jpg,0.029974864795804024
Aphones (14780).jpg,1.7755170119926333e-05
Aphones (14820).jpg,0.03313672915101051
Aphones (1485).jpg,0.05506981164216995
Aphones (14853).jpg,0.004261586349457502
Aphones (1490).jpg,0.13837184011936188
Aphones (14920).jpg,3.5847500523544795e-09
Aphones (1494).jpg,0.20971748232841492
Aphones (14988).jpg,3.4753460909087153e-07
Aphones (15005).jpg,0.05723538249731064
Aphones (15009).jpg,2.619371298351325e-05
Aphones (15019).jpg,0.0055343168787658215
Aphones (15056).jpg,0.003411348909139633
Aphones (15126).jpg,0.03311824053525925
Aphones (1513).jpg,0.0015654675662517548
Aphones (15147).jpg,0.00017672794638201594
Aphones (15159).jpg,0.011146283708512783
Aphones (15162).jpg,0.0019698075484484434
Aphones (15185).jpg,5.425511773182734e-08
Aphones (15188).jpg,0.7216973900794983
Aphones (1523).jpg,4.6007798459868354e-08
Aphones (15231).jpg,7.088556594680995e-05
Aphones (15278).jpg,0.0012446476612240076
Aphones (15309).jpg,0.6458372473716736
Aphones (15329).jpg,2.133482894350891e-06
Aphones (15337).jpg,4.622316555469297e-05
Aphones (15343).jpg,1.74841916305013e-05
Aphones (15360).jpg,0.09257791936397552
Aphones (15383).jpg,0.000221657392103225
Aphones (1539).jpg,0.030274488031864166
Aphones (15418).jpg,0.0027306447736918926
Aphones (15429).jpg,4.551157246623916e-07
Aphones (15484).jpg,1.7671364815896595e-08
Aphones (15494).jpg,5.420416346169077e-05
Aphones (15508).jpg,2.6131570241005875e-09
